Banks,Interest Rates (PA),Interest Rate for Seniors (PA)
Tamil Nadu Power Finance FD,7.9%,8.05%
North East Small Finance Bank FD,7.5%,7.5%
Utkarsh Small Finance Bank FD,7.5%,8%
Ujjivan Small Finance Bank FD,7.45%,7.95%
Shriram Finance FD,7.25%,7.75%
Jana Small Finance Bank FD,7.25%,7.75%
ESAF Small Finance Bank FD,7.25%,7.75%
Chaitanya Godavari Grameena Bank FD,7.25%,7.75%
Suryoday Small Finance Bank FD,7.25%,7.45%
RBL Bank FD,7.2%,7.7%
Bandhan Bank FD,7.2%,7.7%
Saptagiri Grameena Bank FD,7.2%,7.7%
Madhya Pradesh Gramin Bank FD,7.15%,7.65%
Utkal Grameen Bank FD,7.15%,7.65%
Andhra Pragathi Grameena Bank FD,7.15%,7.65%
Madhyanchal Gramin Bank FD,7.1%,7.6%
Andhra Pradesh Grameena Vikas Bank FD,7.05%,7.55%
Bharat Bank FD,7%,7.5%
Uttar Bihar Gramin Bank FD,7%,7.5%
Post Office FD,7%,7%
