Banks,Interest Rates (PA),Interest Rate for Seniors (PA)
Suryoday Small Finance Bank FD,7.25%,7.45%
Chaitanya Godavari Grameena Bank FD,7.25%,7.75%
Vidharbha Konkan Gramin Bank FD,7%,7%
ESF Bank FD,7%,7.5%
DCB Bank FD,7%,7.25%
Capital Small Finance Bank FD,6.8%,7.3%
AU Small Finance Bank FD,6.75%,7.25%
Andhra Pradesh Grameena Vikas Bank FD,6.75%,7.25%
Yes Bank FD,6.75%,7.5%
Andhra Pragathi Grameena Bank FD,6.75%,7.35%
Utkarsh Small Finance Bank FD,6.75%,7.25%
Bharat Bank FD,6.75%,7.25%
RBL Bank FD,6.7%,7.2%
Andhra Pradesh Grameena Bank FD,6.65%,7.15%
Dhanlaxmi Bank FD,6.6%,7.1%
Tamilnad Mercantile Bank FD,6.6%,7.1%
Utkal Grameen Bank FD,6.6%,7.1%
Saptagiri Grameena Bank FD,6.6%,7.1%
Jammu & Kashmir Bank FD,6.6%,7.1%
Saurashtra Gramin Bank FD,6.55%,7.35%
