Banks,Interest Rates (PA),Interest Rate for Seniors (PA)
Chaitanya Godavari Grameena Bank FD,7.85%,8.35%
Tamil Nadu Power Finance FD,7.8%,7.95%
Saptagiri Grameena Bank FD,7.6%,8.1%
Andhra Pradesh Grameena Vikas Bank FD,7.6%,8.1%
Ujjivan Small Finance Bank FD,7.25%,7.75%
Suryoday Small Finance Bank FD,7.25%,7.45%
Andhra Pragathi Grameena Bank FD,7.1%,7.6%
Capital Small Finance Bank FD,7%,7.5%
ESF Bank FD,7%,7.5%
Jana Small Finance Bank FD,7%,7.5%
RBL Bank FD,7%,7.5%
Andhra Pradesh Grameena Bank FD,7%,7.5%
Shriram Finance FD,7%,7.5%
Bandhan Bank FD,7%,7.5%
DCB Bank FD,6.9%,7.15%
Post Office FD,6.9%,6.9%
Utkal Grameen Bank FD,6.9%,7.4%
Bharat Bank FD,6.9%,7.4%
Baroda Gujarat Gramin Bank FD,6.85%,7.35%
Karnataka Gramin Bank FD,6.85%,7.35%
